doc_id,category,comments
doc_1ac2e94e1928,Wiki,Wikipedia reference article overviewing Judaism
doc_1ba40b096385,Education,Educational reading comprehension text on the impact of social media
doc_1d6c26e0d883,Media,Sports news coverage of FC Barcelona in UEFA Champions League
doc_1e3408eda6ca,Education,Multiple-choice school exam questions on technical and industrial topics
doc_1e9d85470458,Religion,Quranic text (Surah Al-Kafirun)
doc_1f76e8fe8198,Education,School textbook instructional prompt and student activity
doc_21595b4e3455,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_21d3c2526826,Religion,Biblical text (Gospel of Luke)
doc_23175663d44d,Literature,Author introduction and dedication for a science fiction novel
doc_23d6a0b477dc,Religion,Quranic text (Surah Ad-Duha)
doc_253481b544bc,Literature,Non-fiction book translation on the natural history of flies by Steven Connor
doc_27379cffecaa,Education,School Islamic studies curriculum outline and syllabus table of contents
doc_27c6816536a1,Politics,Online political forum post regarding events in Syria
doc_27ddaf73a5a3,Religion,Biblical text (Book of Genesis)
doc_282221304026,Media,Health and lifestyle column discussing habits like nail biting
doc_29698a1df24c,Education,Student persuasive essay discussing pros and cons of social media
doc_2af8b9d500cd,Education,School Computer Science exam questions on binary and hexadecimal conversions
doc_2b80f85f3da7,Children,Illustrated youth historical story from Majid magazine
doc_2bb81648bc77,Children,Youth story titled Journey to Wonderland
doc_2c8da182d64f,Education,Home economics multiple-choice exam questions on wardrobe management
doc_2dafa4bce470,Wiki,Wikipedia summary plot overview of The Fox and the Hound
doc_2ddd5004f35f,Religion,Hadith narration regarding fighting in the cause of Allah (Sahih Al-Bukhari)
doc_307ff4a69a77,Children,Children's comic strip about Amouna Al-Mazyouna from Majid magazine
doc_31e0c975b08b,Education,Student essay discussing the positive and negative impacts of social media
doc_3363a276ee7f,Media,Feature article on an Egyptian children's opinion survey from Majid magazine
doc_33f120d43c0a,Children,Religious storytelling column titled 'Ahbab Allah' in Majid magazine
doc_342a25fa6b27,Education,School essay about the influence of social media on individuals and society
doc_34642a1db261,Religion,Quranic verses from Surah Ali 'Imran (Verses 185-186)
doc_34b0f9ac0d8e,Religion,Gospel excerpt from the Gospel of Matthew (Chapter 14)
doc_377be5759ac4,Education,Short essay on the excessive use of social media platforms
doc_37d929046a5d,Religion,Quranic verses from Surah Fussilat (Verses 1-5)
doc_38f085e331a0,Literature,Lines from the pre-Islamic Mu'allaqa of Zuhair ibn Abi Sulma
doc_3a0d918b3261,Education,Table of contents for an Emirati social studies textbook unit
doc_3bfa03843e1d,Children,Children's humor comic strip about Hantoufa street in Majid magazine
doc_3d29a3a37931,Religion,Quranic verses from Surah An-Naml (Verses 1-3)
doc_3dbf0508283b,Religion,Quranic verses from Surah Al-Humazah (Verses 1-6)
doc_3ea49166e1e6,Literature,Excerpt of narrative dialogue from a modern Arabic novel
doc_3f5f71c20f35,Religion,Quranic verses from Surah Al-Falaq (Verses 1-5)
doc_43a8296c7584,Children,Theme song lyrics from the dubbed anime series 'Hazim Al-Ra'd'
doc_44c6ef8e1e1c,Education,Expository text introducing digital electronics and social networking apps
doc_46892265810e,Religion,Quranic verses from Surah Al-Qari'ah (Verses 1-5)
doc_4874874a9001,Children,Children's comic strip titled 'Madrasat Al-Banat' from Majid magazine
doc_49207999a03d,Literature,Verses of classical Arabic romantic poetry describing beauty
doc_49224449d8fd,Education,Curriculum lesson outline for teaching Surah Al-Waqi'ah in Islamic studies
doc_49842383ec72,Literature,Lines from the pre-Islamic Mu'allaqa of Al-Nabigha Al-Dhubyani
doc_49e279ec3a03,Religion,Gospel excerpt from the Gospel of Mark (Chapter 11)
doc_4a0fdb3260ea,Education,Multiple-choice school exam question on geography
doc_4a2fa5a558fa,Education,Multiple-choice school exam question on Arabic language and vocabulary
doc_4d68e5968857,Religion,"Biblical text (Book of Genesis, Chapter 38)"
doc_4d6956f06934,Religion,Quranic text (Surah Al-Kawthar)
doc_4d850aaf2d6b,Education,Student essay discussing the influence of social media on society
doc_4deee47bc86e,Education,School social studies textbook unit on UAE cultural heritage
doc_4e07f4e1cab9,Literature,Translated prologue and introduction to Shakespeare's play Henry VIII
doc_4f96c619afba,Religion,Quranic text (Surah Al-Ikhlas)
doc_4fd657df7e3e,Literature,Arabic translation excerpt from Oxford's Very Short Introductions series
doc_5379b2cfb78b,Literature,Narrative excerpt from a modern Arabic novel
doc_542d299a6f7a,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_54a083a23ade,Children,Children's educational environmental awareness article from Majid magazine
doc_54cd754ca732,Education,Student narrative travelogue essay describing a trip to Madinah
doc_552903356c67,Literature,Excerpt from a non-fiction intellectual essay on culture and thought
doc_5615a444cd35,Media,Sports news coverage of Sevilla FC in European football competitions
doc_5760eddae807,Religion,"Biblical text (Book of Exodus, Chapter 1)"
doc_578c02c8b68f,Education,Multiple-choice vocational exam questions on home economics
doc_57cec7aa6ed9,Religion,"Biblical text (Gospel of Luke, Chapters 1-2)"
doc_58778c67a498,Literature,Philosophical non-fiction essay introduction on science and knowledge
doc_58a215102912,Education,Primary school curriculum lesson learning objectives for Islamic studies
doc_58eff91aadd1,Education,School Computer Science exam question on information technology and security
doc_598153d5396e,Religion,"Biblical text (Book of Exodus, Chapters 13-14)"
doc_5a8dddfae0a8,Children,Children's comic strip featuring Kaslan from Majid magazine
doc_5ad3be903518,Children,Children's comic strip featuring Mouza Al-Habouba from Majid magazine
doc_5c0014f5ef30,Education,Multiple-choice school exam question
doc_5e5d151153f3,Children,Theme song lyrics for the children's anime show Muka Muka
doc_5ebd5c290d97,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_62503c802643,Children,Kid-friendly cooking recipe feature from Majid magazine
doc_63c492fe0300,Media,Sports news report retrieved from Kooora website
doc_63fdb3ec9edd,Literature,Translated excerpt from the novel Peter Pan by J.M. Barrie
doc_6493e84f6914,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_64f964beea0f,Literature,Translated non-fiction book excerpt on neuroscience and neuroplasticity
doc_65e8736fb95e,Literature,Political commentary and opinion narrative piece
doc_663405b766e5,Education,Multiple-choice school exam questions on home economics and crafts
doc_66fcb34e9dc8,Education,School textbook chapter on national service and citizenship in the UAE
doc_67f36c8225e0,Literature,Classical Arabic narrative excerpt from One Thousand and One Nights
doc_680484dffc41,Literature,Translated autobiographical memoir excerpt
doc_68aafa07c012,Literature,Classical Arabic poetry verses
doc_69e0da24a88b,Education,School Computer Science exam questions on computer networks and IT
doc_6a8c2fb687f1,Education,Islamic studies school textbook unit on Surah Al-Ghashiyah
doc_6e960f9c41b3,Literature,Translated encyclopedia entry on the history of Italian women
doc_6e98554625e9,Education,School lesson objectives for Islamic studies class
doc_732b4d0f0390,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_76dd0fd3b4b1,Literature,Translated non-fiction excerpt on consciousness from Very Short Introductions
doc_76edf9ad9451,Religion,Quranic text (Surah At-Takathur)
doc_76fa424fd0a0,Children,Children's adventure story snippet from Majid magazine
doc_77680f4be89d,Literature,Translated excerpt from the novel The Namesake by Jhumpa Lahiri
doc_77a013f570e1,Education,School hospitality and home economics exam questions
doc_7809baabe2d7,Literature,Classical Arabic narrative excerpt from One Thousand and One Nights
doc_78f6185e43a4,Religion,Quranic text (Surah At-Talaq)
doc_79a89fa7f326,Media,Technology news coverage on the launch of Samsung Galaxy S4
doc_7bd27ff65a1a,Literature,Translated science fiction narrative excerpt
doc_7c4eaa67bbc9,Children,Children's comic strip featuring Abu Al-Zurafaa from Majid magazine
doc_7d11b3ed44ed,Religion,Quranic text (Surah Al-Buruj)
doc_7e084940b5f9,Children,Children's comic strip from Majid magazine
doc_7fdbb012a8ca,Media,Wikipedia encyclopedic entry on Inter Milan football club
doc_8134a2487f2c,Media,Cybersecurity news article reporting on the Mini-Flame malware virus
doc_81f104a1a1ab,Children,Youth science fiction story excerpt
doc_82ca2f3f914c,Education,School Computer Science exam question on Boolean logic and gates
doc_8368504d1edd,Children,Children's DIY activity and crafting tutorial from Majid magazine
doc_838899cf6266,Literature,Travelogue and memoir text documenting an expedition to Nubia
doc_84e70c2f9cc1,Children,Children's movie review feature from Majid magazine
doc_86c5949ded9d,Education,Educational guide on study skills and academic preparation
doc_872fa11e8757,Media,Sports transfer news regarding footballer Eduardo Vargas moving to Valencia
doc_886083673cb1,Religion,Quranic text (Surah Ali 'Imran)
doc_89276ac23a8d,Religion,"Biblical text (Book of Genesis, Chapter 46)"
doc_8a4040100bcf,Religion,"Biblical text (Book of Genesis, Chapter 28)"
doc_8b052a1f8fda,Education,School reading comprehension passage on digital reading and e-books
doc_8dd711e093d8,Education,Primary school social studies lesson text on agriculture in the UAE
doc_8ec660c5b63d,Religion,"Biblical text (Gospel of Matthew, Chapter 15)"
doc_8fd84ecc7d24,Literature,Translated academic book excerpt titled The Bilingual Child
doc_909812365e9d,Media,Feature article on traditional falconry and wildlife conservation
doc_90a2c4a53ef6,Education,Multiple-choice school exam questions on health education and home economics
doc_926a372c2f4a,Religion,Quranic text (Surah Ar-Ra'd)
doc_926f22248950,Literature,Translated historical fiction novel excerpt
doc_92e8c7876890,Literature,Poetry selection from the works of Lebanese poet Elias Abu Shabaki
doc_93e625cd454c,Children,Children's moral story titled Al-Tajir Marmar
doc_9437182f2919,Education,Multiple-choice exam questions covering general knowledge and CS
doc_9467dbaf6581,Religion,Quranic text (Surah Ali 'Imran)
doc_9517205abc55,Media,Wikipedia biographical article on footballer Alessandro Del Piero
doc_958c9d5ab863,Religion,Quranic text (Surah Saba')
doc_973572ea76b7,Children,Children's story titled The Wild Swans from the Green Library series
doc_985ba27df0b5,Literature,Intellectual non-fiction essay on cultural philosophy
doc_98f20b4caaac,Education,Language learning conversational dialogue practice guide
doc_991f505e702a,Education,Multiple-choice exam question on moral ethics and philosophy
doc_99c960b7a240,Education,Student essay on tolerance and multicultural coexistence in the UAE
doc_9c908d252c6c,Media,Sports news report on Serie A match between Inter Milan and Chievo
doc_9c9d2873ff68,Religion,"Biblical text (Book of Genesis, Chapter 19)"
doc_9cabe804637b,Children,Children's poem published in Majid magazine
doc_9cc260f20fc8,Children,Children's story featuring Nour and Surour from Majid magazine
doc_9e073ddb7855,Media,Egyptian football news article on Petrojet vs Al Ahly match
doc_9e30fca0c751,Religion,Quranic text (Surah Al-Masad)
doc_9ec1522ad9c0,Children,Children's comic strip from Majid magazine
doc_9f94ad092de4,Literature,Arabic translation of the Universal Declaration of Human Rights
doc_a080744979cb,Literature,Translated short story excerpt from The Country of the Blind by H.G. Wells
doc_a0ab02846c99,Children,Children's story titled The Strange Nose from the Green Library series
doc_a112ac0f5c28,Education,Multiple-choice school geography exam question
doc_a255e5219ae1,Education,Vocational and industrial education exam question
doc_a365194dc924,Children,Children's comic strip featuring Faleh from Majid magazine
doc_a682db298a07,Media,Sports news report on Algerian Football League match postponements
doc_a725d56efb52,Education,School general knowledge exam questions on home economics
doc_a7a748e55049,Media,Motorsports news article covering the Yazeed Al-Rajhi Rally
doc_a7c277349f38,Literature,Classical Arabic narrative excerpt from One Thousand and One Nights
doc_a8612ce7da6a,Media,Wikipedia encyclopedic overview of the city of Innsbruck
doc_a8c8435f97a7,Literature,Historical biographical account of Emir Bashir Shihab II
doc_a96082986d04,Children,Magazine header and editorial credits from Majid magazine
doc_ae6af75242fa,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_b0063d21a47e,Literature,Classical Arabic narrative excerpt from One Thousand and One Nights
doc_b1af6f1c23e3,Media,News report covering the annual Baghdad International Flower Festival
doc_b1fe7085922a,Literature,"Excerpt from Hayat Muhammad, a biographical history text on Prophet Muhammad"
doc_b41a41679745,Education,Student essay discussing tolerance in modern society
doc_b55af2a8cf6f,Religion,Biblical text (Gospel of Matthew)
doc_b64ce2b5df0d,Education,School exam question on personal finance and economics
doc_b7ac83a7db16,Education,Student essay on modern development and infrastructure in the UAE
doc_b8a7f498f090,Religion,Quranic text (Surah Al-Asr)
doc_bb657fa643d2,Children,Children's song lyrics published in Majid magazine
doc_bccfb9dbc8c0,Religion,"Biblical text (Book of Genesis, Chapters 21-22)"
doc_bd6f4fd6f8e5,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_beeaecba6d54,Media,Wikipedia science entry explaining the Big Bang theory
doc_bf25858dee6d,Education,Multiple-choice exam questions on computer science and technology
doc_bfee07f16399,Education,Foreign language learning phrasebook and dialogue guide
doc_c261bc48edcb,Media,Wikipedia geographical article about the city of Alexandria
doc_c4f517746717,Religion,Quranic text (Surah Ali 'Imran)
doc_c53524a09790,Religion,Biblical text (Gospel of Luke)
doc_c76e4e2b8c37,Religion,"Biblical text (Book of Genesis, Chapter 36)"
doc_c7b069437da8,Children,Children's educational science article on mosquitoes from Majid magazine
doc_c7c4e81a5cb9,Literature,Philosophical text excerpt from Hayy ibn Yaqzan by Ibn Tufail
doc_c7e4a9ec3d35,Religion,"Biblical text (Book of Exodus, Chapter 24)"
doc_c7f4bbea2589,Media,News report covering cyberattacks targeting Israeli digital infrastructure
doc_c8c8fbaa30c5,Education,Practical language learning dialogue guide
doc_cbfa099b807f,Education,School Islamic studies textbook comprehension question
doc_ccab191bf656,Literature,Translated popular science book excerpt about the Sun (Hindawi Foundation)
doc_cd3e9f77c365,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_cd6cd729a75b,Children,Year-end celebratory message to readers from Majid magazine
doc_ced09911464c,Children,Children's comic strip featuring Jammool from Majid magazine
doc_cf5dcbb70b63,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_d1369469404b,Education,School textbook table of contents and curriculum unit syllabus
doc_d21aee5074e1,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_d2fcdeeb47c6,Literature,Essay on the history and orthography of Arabic script
doc_d4b2af1feb61,Literature,Modern Arabic poem titled On the Edge of the Massacre
doc_d67b48de228b,Religion,Quranic text (Surah An-Nasr)
doc_d68cfe678494,Religion,Prophetic Hadith text with narrator chain
doc_d6af46a33534,Religion,"Biblical text (Gospel of Luke, Chapter 20)"
doc_d7471d64d794,Media,Sports news report featuring Rui Patrício discussing Cristiano Ronaldo
doc_d8b699fb7b47,Education,Student essay discussing tolerance and human harmony
doc_d8bada030433,Media,Wikipedia encyclopedic article on formal logic and philosophy
doc_d9a86ebafcd0,Education,Student essay on promoting tolerance in educational environments
doc_d9f65d40c4db,Literature,Philosophical text excerpt from Hayy ibn Yaqzan by Ibn Tufail
doc_da2fb3f0d503,Education,School exam questions on public finance and government budgeting
doc_deaba8535633,Education,School exam questions on investment and economic principles
doc_dee967cae904,Children,Children's problem-solving advice column from Majid magazine
doc_e28cccf95591,Children,Children's story titled The Kidnapped Princess from the Green Library series
doc_e3d7217887d7,Literature,Narrative excerpt from a modern Arabic novel
doc_e46f1cf743a0,Media,Wikipedia biographical article on the historical scholar Ibn Khaldun
doc_e49b39ee9fe9,Children,Children's comic strip from Majid magazine
doc_e52d08466fca,Children,Children's poem and song text from Majid magazine
doc_e59bbcdc22f4,Education,School Arabic language textbook reading unit
doc_e65fc3ec3ab8,Religion,Quranic text (Surah Quraish)
doc_e6f0a0f94b18,Children,Patriotic article titled 'Good Morning My Homeland' from Majid magazine
doc_ea27cbe86d29,Media,Sports news covering Al Ahly vs Al Ittihad in the FIFA Club World Cup
doc_eb33180bf040,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_ebb979adb177,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_edaf1d024313,Education,Driver's education exam question on traffic signs and safety regulations
doc_edc8d691b5fb,Literature,Historical theatrical play script titled Fath Al-Andalus
doc_ee224d5bfdd2,Education,School Computer Science exam question on logic gates and circuits
doc_ef529cf6437d,Children,Children's story titled The Princess and the Snake from the Green Library series
doc_ef7ab871c8bd,Religion,Quranic text (Surah Al-Anbiya)
doc_effce28d43b4,Religion,Quranic text (Surah Muhammad)
doc_f18040cfc68d,Children,Children's religious Q&A column 'Ask the People of Knowledge' in Majid magazine
doc_f2625b68c6dd,Literature,Translated excerpt from Denis Diderot's novel The Nun
doc_f28da7c52c6f,Education,Multiple-choice school exam questions on home economics and health
doc_f43a683ab1e8,Education,School Arabic language textbook chapter and exercise
doc_f4752c2c1cd0,Education,School Islamic studies textbook chapter and exercise
doc_f477013425dd,Education,Multiple-choice school geography exam question
doc_f618672c5afc,Media,Wikipedia historical article on Al-Azhar Mosque
doc_f7ce0c2859b4,Media,Wikipedia historical overview article on Al-Andalus
doc_f7d2b46dc3a9,Religion,Quranic text (Surah Al-Fil)
doc_f86b6ff5aa02,Children,Children's story titled Mama Makes Bread
doc_f9b21ae5dcb9,Education,Student essay discussing national efforts to promote tolerance
doc_f9d5674ba201,Religion,Quranic text (Surah Al-Ma'un)
doc_fa19fbcf588f,Religion,Biblical text (Gospel of Mark)
doc_fac480480b92,Literature,Literary criticism and review of Albert Camus's dramatic works
doc_fb2123783efe,Media,Online user forum post discussing public media topics
doc_fcb4ce90dfc1,Religion,Prophetic Hadith narration (Sahih Al-Bukhari)
doc_fd2537df087b,Children,Children's comic strip featuring Tayyub and Tayyoosh from Majid magazine
doc_fe9af58057f4,Religion,"Biblical text (Book of Exodus, Chapter 20)"
doc_ff75d0d09b84,Religion,Quranic text (Surah As-Saffat)
